trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.43171052342907973}",30,0,-118.67898106695142,"{0: 22, 1: 2, 2: 2, 3: 2, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.4231620823177488}",20,9,-59.39320363346342,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.4147829116815814}",25,13,-10.514907910734028,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.4065696597405991}",25,0,-125.20200252320011,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
46,False,"{'a': 0.5, 'e': 0.39851904108451414}",20,8,21.535562286337885,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.3906278353585211}",25,4,4.4573731597804125,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.38289288597511206}",25,9,-27.993923952267842,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.37531109885139957}",25,9,-27.886932950549898,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,0,-47.046056946573735,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.3605949401730783}",25,3,18.18035800131756,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.35345468195878016}",20,3,-134.68237584671468,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 3}",1
53,False,"{'a': 0.5, 'e': 0.3464558103300574}",25,16,-8.641048739001834,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.3395955256449391}",25,0,-36.823307999449675,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.33287108369807955}",20,0,-80.7260794514134,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.32627979462303947}",25,7,-15.319853550636804,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.31981902181630384}",30,14,19.180507306184296,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.3134861808826053}",35,18,1.5336897142006172,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.30727873860113125}",30,16,27.285522930511856,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.30119421191220214}",20,0,1.2716987626464036,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.2952301669240142}",25,17,3.7855107919777318,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.2893842179390506}",20,14,-5.162337275011036,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.2836540264997704}",30,19,8.87751437566789,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.27803730045319414}",25,6,-30.472930954290284,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.2725317930340126}",25,1,-1.7076186552331045,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.26713530196585034}",20,0,-24.726136189664636,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.261845668580326}",20,4,2.7056040828249257,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.2566607769535559}",20,0,-71.26205339485792,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.25157855305975646}",20,10,-18.049767085704726,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.24659696394160643}",25,13,21.53871925542833,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.24171401689703645}",30,13,32.080005889693446,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.23692775868212176}",20,3,-51.12215218210892,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.23223627472975883}",20,10,-14.407281049821975,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.22763768838381274}",25,15,-23.99698289406476,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.22313016014842982}",30,24,12.770071861907622,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.21871188695221475}",20,14,10.246616913094215,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.21438110142697794}",30,21,8.491485586606997,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.21013607120076472}",20,10,15.034804934089324,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.20597509820488344}",30,5,31.67474847821661,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.20189651799465538}",25,13,-31.22971361293658,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.19789869908361465}",20,6,0.05358261454240454,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.19398004229089189}",30,3,-93.72265935576726,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 3}",1
83,False,"{'a': 0.5, 'e': 0.1901389801015205}",20,8,23.040801271147103,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.18637397603940997}",20,13,15.204092729954679,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.18268352405273466}",30,17,-29.011604254384757,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
86,False,"{'a': 0.5, 'e': 0.17906614791149322}",25,11,25.946696433440692,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.17552040061699686}",20,15,8.153286402862085,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.17204486382305054}",25,0,3.8563437211439497,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.1686381472685955}",25,16,-5.0924767417233285,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.16529888822158653}",25,12,21.762079355118164,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
